ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1011,Catfish :dried,Mar-24,March,2024,4048.06,5.37,72.1,Ebonyi ,6056.44,Katsina ,2718.19
1012,Catfish Smoked,Mar-24,March,2024,3370.59,3.16,75.43,Yobe ,4503.18,Sokoto ,2594
1013,Chicken Feet,Mar-24,March,2024,2440.35,5.48,120.13,Abuja ,4512.95,Taraba ,825
1014,Chicken Wings,Mar-24,March,2024,2992.37,8.74,111.75,Abuja ,4564.46,Plateau ,1550.84
1015,Dried Fish Sardine,Mar-24,March,2024,3493.99,6.57,79.18,Nassarawa ,6100.21,Oyo ,2090
1016,Evaporated tinned milk carnation 170g,Mar-24,March,2024,611.09,8.04,103.62,Adamawa ,791.59,Zamfara ,498.5
1017,"Evaporated tinned milk(peak), 170g",Mar-24,March,2024,669.71,5.3,81.42,Adamawa ,781.58,Kwara ,560.99
1018,Frozen chicken,Mar-24,March,2024,4564.58,4.43,61.43,Enugu ,6917.9,Borno ,3420.4
1019,"Gari white,sold loose",Mar-24,March,2024,749.89,3.66,112.34,Ogun ,1021.13,Benue ,490.55
1020,"Gari yellow,sold loose",Mar-24,March,2024,804.01,6.69,105.57,Ogun ,1178.92,Nassarawa ,540.74
1021,"Groundnut oil: 1 bottle, specify bottle",Mar-24,March,2024,2165.29,7.78,67.52,Ebonyi ,2827.66,Kebbi ,1661.38
1022,Iced Sardine,Mar-24,March,2024,2787.7,6.99,69.78,Borno ,3792.86,Zamfara ,1668.83
1023,Irish potato,Mar-24,March,2024,1254.45,10.95,125.19,Akwa_Ibom ,1970,Jigawa ,600
1024,Mackerel : frozen,Mar-24,March,2024,2972.11,9.6,79.96,Imo ,3972.58,Rivers ,2242.79
1025,Maize grain white sold loose,Mar-24,March,2024,757.86,3.89,123.03,Enugu ,1008.9,Zamfara ,547.48
1026,Maize grain yellow sold loose,Mar-24,March,2024,758.09,4.68,120.43,Anambra ,1005.26,Zamfara ,514.02
1027,Mudfish (aro) fresh,Mar-24,March,2024,2820.27,6.36,95.46,Edo ,3675,Gombe ,1564
1028,Mudfish : dried,Mar-24,March,2024,3830.35,4.42,69.75,Abia ,5815.53,Plateau ,2150.45
1029,Onion bulb,Mar-24,March,2024,938.87,2.54,111.28,Rivers ,1485.29,Zamfara ,475.19
1030,"Palm oil: 1 bottle,specify bottle",Mar-24,March,2024,1565.9,0.28,44.1,Osun ,2376.79,Gombe ,1076
1031,Plantain(ripe),Mar-24,March,2024,947.35,11.91,136.58,Delta ,1371.64,Borno ,414.47
1032,Plantain(unripe),Mar-24,March,2024,933.16,8.63,154.66,Oyo ,1471.76,Yobe ,443.1
1033,Rice agric sold loose,Mar-24,March,2024,1378.84,8.17,124.83,Niger ,1974.93,Borno ,870.68
1034,Rice local sold loose,Mar-24,March,2024,1340.74,9.63,152.93,Niger ,1699.98,Benue ,985.83
1035,Rice Medium Grained,Mar-24,March,2024,1438.07,5.63,140.68,Ondo ,1783.51,Yobe ,1198.26
1036,"Rice,imported high quality sold loose",Mar-24,March,2024,1633.94,5.45,113.54,Kwara ,2100,Borno ,929.35
1037,Sweet potato,Mar-24,March,2024,689.47,2.47,147.69,Akwa_Ibom ,1337.31,Jigawa ,308.3
1038,Tilapia fish (epiya) fresh,Mar-24,March,2024,2728.63,11.59,113.19,Lagos ,4500,Borno ,1137.51
1039,Titus:frozen,Mar-24,March,2024,3124.04,8.36,75.37,Lagos ,4732.69,Bauchi ,2280.8
1040,Tomato,Mar-24,March,2024,959.68,2.33,105.68,Delta ,1618.33,Katsina ,485.54
1041,"Vegetable oil:1 bottle,specify bottle",Mar-24,March,2024,2003.65,6.64,64.15,Ondo ,2838.1,Borno ,1502.16
1042,Wheat flour: prepacked (golden penny 2kg),Mar-24,March,2024,2477.63,8.78,94.29,Delta ,3137.5,Borno ,1300.22
1043,Yam tuber,Mar-24,March,2024,1068.78,5.87,141.25,Edo ,1695.13,Katsina ,723.39
